loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,gaia_dist,st_teff,st_mass,pl_facility,,,,rowupdate
587,HD 203030,HD 203030 b,Imaging,1,,487.1,24.09,39.29,39.29,,,Palomar Observatory,,,,14-05-2014
588,HD 203473,HD 203473 b,Radial Velocity,1,1552.9,2.73,7.8,72.79,72.79,5780,1.12,W. M. Keck Observatory,,,,27-09-2018
589,HD 2039,HD 2039 b,Radial Velocity,1,1120,2.2,6.29,85.9,85.9,5945,1.23,Anglo-Australian Telescope,,,,06-09-2018
590,HD 204313,HD 204313 b,Radial Velocity,2,1920.09998,3.07,3.46,47.86,47.86,5783,1.03,La Silla Observatory,,,,06-09-2018
591,HD 204313,HD 204313 c,Radial Velocity,2,34.905,0.2099,0.0553,47.86,47.86,5783,1.03,La Silla Observatory,,,,19-11-2015
592,HD 204941,HD 204941 b,Radial Velocity,1,1733,2.55,0.23,28.74,28.74,5026,0.58,La Silla Observatory,,,,06-09-2018
593,HD 205739,HD 205739 b,Radial Velocity,1,279.8,0.896,1.37,92.74,92.74,6176,1.22,Las Campanas Observatory,,,,25-09-2014
594,HD 206255,HD 206255 b,Radial Velocity,1,96.045,0.461,0.1076,75.4,75.4,5635,1.42,Las Campanas Observatory,,,,23-05-2019
595,HD 206610,HD 206610 b,Radial Velocity,1,673.2,1.74,2.036,147.78,147.78,4842,1.55,W. M. Keck Observatory,,,,06-12-2018
596,HD 20781,HD 20781 b,Radial Velocity,4,5.3135,0.0529,0.0061,35.37,36.01,5256,0.7,La Silla Observatory,,,,07-02-2019
597,HD 20781,HD 20781 c,Radial Velocity,4,13.8905,0.1004,0.0168,35.37,36.01,5256,0.7,La Silla Observatory,,,,07-02-2019
598,HD 20781,HD 20781 d,Radial Velocity,4,29.158,0.1647,0.0334,35.37,36.01,5256,0.7,La Silla Observatory,,,,07-02-2019
599,HD 20781,HD 20781 e,Radial Velocity,4,85.5073,0.3374,0.0442,35.37,36.01,5256,0.7,La Silla Observatory,,,,07-02-2019
600,HD 20782,HD 20782 b,Radial Velocity,1,597.0643,1.3649,1.4878,36.02,36.02,5790,1.07,Anglo-Australian Telescope,,,,07-02-2019
601,HD 207832,HD 207832 b,Radial Velocity,2,160.07,0.586,0.56,59.03,59.03,5726,1.05,W. M. Keck Observatory,,,,27-09-2018
602,HD 207832,HD 207832 c,Radial Velocity,2,1155.7,2.112,0.73,59.03,59.03,5726,1.05,W. M. Keck Observatory,,,,10-09-2015
603,HD 20794,HD 20794 b,Radial Velocity,4,18.315,0.1207,0.0085,6,6,5401,0.7,La Silla Observatory,,,,27-08-2015
604,HD 20794,HD 20794 c,Radial Velocity,4,40.114,0.2036,0.0076,6,6,5401,0.7,La Silla Observatory,,,,27-08-2015
605,HD 20794,HD 20794 d,Radial Velocity,4,90.309,0.3499,0.015,6,6,5401,0.7,La Silla Observatory,,,,27-08-2015
606,HD 20794,HD 20794 e,Radial Velocity,4,147.02,0.509,0.01501,6,6,5401,0.7,La Silla Observatory,,,,08-06-2017
607,HD 208487,HD 208487 b,Radial Velocity,1,130.08,0.524,0.52,44,45.21,6067,1.13,Anglo-Australian Telescope,,,,05-11-2014
608,HD 208527,HD 208527 b,Radial Velocity,1,875.5,2.1,9.9,314.48,314.48,4035,1.6,Bohyunsan Optical Astronomical Observatory,,,,14-05-2014
609,HD 20868,HD 20868 b,Radial Velocity,1,380.85001,0.95,1.25,47.79,47.79,4802,0.39,La Silla Observatory,,,,06-09-2018
610,HD 208897,HD 208897 b,Radial Velocity,1,352.7,1.05,1.4,64.68,67.62,4860,1.25,Multiple Observatories,,,,28-09-2017
611,HD 209458,HD 209458 b,Radial Velocity,1,3.52474859,,0.73,48.37,48.37,6091,1.23,W. M. Keck Observatory,,,,06-12-2018
612,HD 210193,HD 210193 b,Radial Velocity,1,649.918,1.487,0.4817,42.25,42.25,5790,1.04,Las Campanas Observatory,,,,23-05-2019
613,HD 210277,HD 210277 b,Radial Velocity,1,442.19,1.13,1.29,21.31,21.31,5538,1.01,W. M. Keck Observatory,,,,06-09-2018
614,HD 210702,HD 210702 b,Radial Velocity,1,354.1,1.148,1.808,54.28,54.28,4951,1.61,Lick Observatory,,,,06-12-2018
615,HD 211810,HD 211810 b,Radial Velocity,1,1558,2.656,0.67,64.76,64.76,5652,1.03,W. M. Keck Observatory,,,,27-09-2018
616,HD 211970,HD 211970 b,Radial Velocity,1,25.201,0.143,0.0409,13,13.13,4127,0.61,Las Campanas Observatory,,,,23-05-2019
617,HD 212301,HD 212301 b,Radial Velocity,1,2.24571,0.03,0.51,54.32,54.32,6239,1.55,La Silla Observatory,,,,06-09-2018
618,HD 212771,HD 212771 b,Radial Velocity,1,380.7,1.19,2.39,111.51,111.51,5003,1.56,W. M. Keck Observatory,,,,06-12-2018
619,HD 213240,HD 213240 b,Radial Velocity,1,882.70001,1.89,5.58,40.92,40.92,5979,1.57,La Silla Observatory,,,,06-09-2018
620,HD 21411,HD 21411 b,Radial Velocity,1,84.288,0.362,0.20734,29.16,29.16,5605,0.89,Las Campanas Observatory,,,,23-05-2019
621,HD 214823,HD 214823 b,Radial Velocity,1,1854.4,3.23,20.3,101.66,101.66,5933,1.31,Haute-Provence Observatory,,,,27-09-2018
622,HD 215152,HD 215152 b,Radial Velocity,4,5.75999,0.057638,0.00572,21.61,21.61,4935,0.77,La Silla Observatory,,,,22-02-2018
623,HD 215152,HD 215152 c,Radial Velocity,4,7.28243,0.067393,0.00541,21.61,21.61,4935,0.77,La Silla Observatory,,,,22-02-2018
624,HD 215152,HD 215152 d,Radial Velocity,4,10.86499,0.08799,0.00881,21.61,21.61,4935,0.77,La Silla Observatory,,,,22-02-2018
625,HD 215152,HD 215152 e,Radial Velocity,4,25.1967,0.15417,0.00905,21.61,21.61,4935,0.77,La Silla Observatory,,,,22-02-2018
626,HD 215497,HD 215497 b,Radial Velocity,2,3.93404,0.05,0.02,40.59,40.59,5110,0.67,La Silla Observatory,,,,06-09-2018
627,HD 215497,HD 215497 c,Radial Velocity,2,567.94,1.282,0.33,40.59,40.59,5110,0.67,La Silla Observatory,,,,19-11-2014
628,HD 216435,HD 216435 b,Radial Velocity,1,1311,2.56,1.26,33.01,33.01,5999,1.3,Anglo-Australian Telescope,,,,23-07-2014
629,HD 216437,HD 216437 b,Radial Velocity,1,1334.28,2.497,2.223,26.71,26.71,5909,1.17,Anglo-Australian Telescope,,,,27-06-2019
630,HD 216536,HD 216536 b,Radial Velocity,1,148.60001,0.61,1.05,380.33,380.33,4639,0.81,McDonald Observatory,,,,06-09-2018
631,HD 216770,HD 216770 b,Radial Velocity,1,118.45,0.46,0.57,36.7,36.7,5399,0.74,La Silla Observatory,,,,06-09-2018
632,HD 21693,HD 21693 b,Radial Velocity,2,22.6786,0.1455,0.0259,32.38,33.29,5430,0.8,La Silla Observatory,,,,07-02-2019
633,HD 21693,HD 21693 c,Radial Velocity,2,53.7357,0.2586,0.0547,32.38,33.29,5430,0.8,La Silla Observatory,,,,07-02-2019
634,HD 217107,HD 217107 b,Radial Velocity,2,7.12682,0.08,1.3,20.07,20.07,5622,1,Lick Observatory,,,,06-09-2018
635,HD 217107,HD 217107 c,Radial Velocity,2,4270,5.32,2.6,20.07,20.07,5622,1,Lick Observatory,,,,14-05-2014
636,GJ 143,HD 21749 c,Transit,2,7.78993,0.0695,0.01164,16.33,16.33,4640,0.73,Transiting Exoplanet Survey Satellite (TESS),,,,25-04-2019
637,HD 217786,HD 217786 b,Radial Velocity,1,1319,2.38,13,54.8,55.57,5966,1.02,La Silla Observatory,,,,31-01-2019
638,HD 217850,HD 217850 b,Radial Velocity,1,3501.3,4.56,21.6,65.9,65.9,5544,1.03,W. M. Keck Observatory,,,,27-09-2018
639,HD 218566,HD 218566 b,Radial Velocity,1,225.7,0.69,0.2,28.85,28.85,4730,0.76,W. M. Keck Observatory,,,,06-09-2018
640,HD 219077,HD 219077 b,Radial Velocity,1,5501,6.22,10.39,29.21,29.21,5362,1.05,La Silla Observatory,,,,14-05-2014
641,HD 219134,HD 219134 b,Radial Velocity,6,3.092926,0.03876,0.01491,6.53,6.53,4699,0.81,Roque de los Muchachos Observatory,,,,16-03-2017
642,HD 219134,HD 219134 c,Radial Velocity,6,6.76458,0.0653,0.01372,6.53,6.53,4699,0.81,Roque de los Muchachos Observatory,,,,16-03-2017
643,HD 219134,HD 219134 d,Radial Velocity,6,46.859,0.237,0.05088,6.53,6.53,4699,0.81,Roque de los Muchachos Observatory,,,,16-03-2017
644,HD 219134,HD 219134 f,Radial Velocity,6,22.717,0.1463,0.02297,6.53,6.53,4699,0.81,Multiple Observatories,,,,16-03-2017
645,HD 219134,HD 219134 g,Radial Velocity,6,94.2,0.3753,0.034,6.53,6.53,4699,0.81,Multiple Observatories,,,,19-11-2015
646,HD 219134,HD 219134 h,Radial Velocity,6,2247,3.11,0.34,6.53,6.53,4699,0.81,Roque de los Muchachos Observatory,,,,19-11-2015
647,HD 219415,HD 219415 b,Radial Velocity,1,2093.3,3.2,1,165.97,165.97,4820,1,McDonald Observatory,,,,18-09-2015
648,HD 219666,HD 219666 b,Transit,1,6.03607,0.06356,0.05223,94.43,94.43,5527,0.92,Transiting Exoplanet Survey Satellite (TESS),,,,05-03-2019
649,HD 219828,HD 219828 b,Radial Velocity,2,3.83492,0.0507,0.066,73.27,73.27,5807,1.18,La Silla Observatory,,,,27-09-2018
650,HD 219828,HD 219828 c,Radial Velocity,2,4682,5.79,14.6,73.27,73.27,5807,1.18,Multiple Facilities,,,,27-09-2018
651,HD 220074,HD 220074 b,Radial Velocity,1,672.09998,1.6,16.64,327.41,327.41,3787,2.2,Bohyunsan Optical Astronomical Observatory,,,,06-09-2018
652,HD 220689,HD 220689 b,Radial Velocity,1,2266.4,3.396,1.118,46.94,46.94,5921,1.02,La Silla Observatory,,,,27-06-2019
653,HD 220773,HD 220773 b,Radial Velocity,1,3724.7,4.94,1.45,49,50.58,5940,1.16,McDonald Observatory,,,,31-01-2019
654,HD 220842,HD 220842 b,Radial Velocity,1,218.47,0.74,3.18,62.5,64.77,5960,1.13,Haute-Provence Observatory,,,,25-02-2016
655,HD 221287,HD 221287 b,Radial Velocity,1,456.1,1.25,3.09,56.01,56.01,6304,1.25,La Silla Observatory,,,,14-05-2014
656,HD 221416,HD 221416 b,Transit,1,14.2767,0.1228,0.19,95.08,95.8,5080,1.21,Transiting Exoplanet Survey Satellite (TESS),,,,18-04-2019
657,HD 221420,HD 221420 b,Radial Velocity,1,22482,18.5,9.7,31.17,31.17,5830,1.67,Anglo-Australian Telescope,,,,09-05-2019
658,HD 221585,HD 221585 b,Radial Velocity,1,1173,2.306,1.61,55.94,55.94,5620,1.19,Haute-Provence Observatory,,,,19-05-2016
659,HD 222076,HD 222076 b,Radial Velocity,1,871,1.83,1.56,91.39,91.39,4806,1.07,Multiple Observatories,,,,01-12-2016
660,HD 222155,HD 222155 b,Radial Velocity,1,3999,5.14,2.12,50.68,50.68,5701,1.21,Haute-Provence Observatory,,,,06-09-2018
661,HD 222582,HD 222582 b,Radial Velocity,1,572.38,1.34,8.37,42.21,42.21,5790,1.12,W. M. Keck Observatory,,,,06-09-2018
662,HD 224538,HD 224538 b,Radial Velocity,1,1189.1,2.28,5.97,79.24,79.24,6097,1.34,Multiple Observatories,,,,10-11-2016
663,HD 224693,HD 224693 b,Radial Velocity,1,26.6904,0.191,0.7,93.75,93.75,5894,1.31,W. M. Keck Observatory,,,,27-09-2018
664,HD 22781,HD 22781 b,Radial Velocity,1,528.07,1.167,13.65,32.63,32.63,5027,0.75,Haute-Provence Observatory,,,,31-01-2019
665,HD 23079,HD 23079 b,Radial Velocity,1,730.59998,1.6,2.61,33.49,33.49,5974,1.12,Anglo-Australian Telescope,,,,06-09-2018
666,HD 23127,HD 23127 b,Radial Velocity,1,1211.17,2.37,1.527,94.11,94.11,5843,1.21,Anglo-Australian Telescope,,,,27-06-2019
667,HD 231701,HD 231701 b,Radial Velocity,1,141.63,0.567,1.13,109.22,109.22,6101,1.21,W. M. Keck Observatory,,,,27-09-2018
668,HD 233604,HD 233604 b,Radial Velocity,1,192,0.747,6.575,868.63,868.63,4791,1.5,McDonald Observatory,,,,14-05-2014
669,HD 23472,HD 23472 b,Transit,2,17.667,0.121,0.05638,39.08,39.08,,0.75,Transiting Exoplanet Survey Satellite (TESS),,,,14-02-2019
670,HD 23472,HD 23472 c,Transit,2,29.625,0.17,0.05405,39.08,39.08,,0.75,Transiting Exoplanet Survey Satellite (TESS),,,,14-02-2019
671,HD 23596,HD 23596 b,Radial Velocity,1,1561,2.77,9.03,52.08,52.08,6040,1.47,Haute-Provence Observatory,,,,06-09-2018
672,HD 238914,HD 238914 b,Radial Velocity,1,4100,5.7,6,527.24,527.24,4769,1.47,Multiple Observatories,,,,25-01-2018
673,HD 240210,HD 240210 b,Radial Velocity,1,501.75,1.16,5.21,142.86,376.37,4297,0.82,McDonald Observatory,,,,19-11-2014
674,HD 240237,HD 240237 b,Radial Velocity,1,745.70001,1.92,15.89,958.16,958.16,3926,8.76,McDonald Observatory,,,,06-09-2018
675,HD 24040,HD 24040 b,Radial Velocity,1,3668,4.92,3.86,46.68,46.68,5802,1.11,W. M. Keck Observatory,,,,06-09-2018
676,HD 24064,HD 24064 b,Radial Velocity,1,535.59998,1.29,12.89,302.86,302.86,4052,1.61,Bohyunsan Optical Astronomical Observatory,,,,06-09-2018
677,HD 24085,HD 24085 b,Radial Velocity,1,2.0455,0.034,0.03713,54.99,54.99,6034,1.22,Las Campanas Observatory,,,,23-05-2019
678,HD 25015,HD 25015 b,Radial Velocity,1,6019.32,6.19,4.48,37.47,37.47,5160,0.86,La Silla Observatory,,,,11-04-2019
679,HD 25171,HD 25171 b,Radial Velocity,1,1802.29,2.971,0.915,55.7,55.7,6125,1.08,La Silla Observatory,,,,27-06-2019
680,HD 2638,HD 2638 b,Radial Velocity,1,3.4442,0.04,0.42,55.05,55.05,5186,0.77,La Silla Observatory,,,,06-09-2018
681,HD 2685,HD 2685 b,Transit,1,4.12688,0.0568,1.17,197.98,197.98,6801,1.43,Transiting Exoplanet Survey Satellite (TESS),,,,13-06-2019
682,HD 26965,HD 26965 b,Radial Velocity,1,42.378,,0.02665,5.04,5.04,5072,0.78,Multiple Observatories,,,,09-08-2018
683,HD 27442,HD 27442 b,Radial Velocity,1,428.1,1.271,1.56,18.28,18.28,4846,1.23,Anglo-Australian Telescope,,,,23-07-2014
684,HD 27631,HD 27631 b,Radial Velocity,1,2198.14,3.242,1.494,50.36,50.36,5737,0.94,La Silla Observatory,,,,27-06-2019
685,HD 27894,HD 27894 b,Radial Velocity,3,18.02,0.125,0.665,43.88,43.88,,0.8,La Silla Observatory,,,,15-06-2017
686,HD 27894,HD 27894 c,Radial Velocity,3,36.07,0.198,0.162,43.88,43.88,,0.8,La Silla Observatory,,,,15-06-2017
687,HD 27894,HD 27894 d,Radial Velocity,3,5174,5.448,5.415,43.88,43.88,,0.8,La Silla Observatory,,,,15-06-2017
688,HD 28185,HD 28185 b,Radial Velocity,1,379,1.02,5.9,39.43,39.43,5662,1.02,La Silla Observatory,,,,06-09-2018
689,HD 28254,HD 28254 b,Radial Velocity,1,1116,2.15,1.16,54.7,55.38,5664,1.06,La Silla Observatory,,,,19-11-2014
690,HD 285507,HD 285507 b,Radial Velocity,1,6.0881,0.06,0.98,45.09,45.09,4503,0.82,Fred Lawrence Whipple Observatory,,,,06-09-2018
691,HD 285968,HD 285968 b,Radial Velocity,1,8.7836,0.066,0.026,9.47,9.47,3679,0.45,La Silla Observatory,,,,19-11-2014
692,HD 28678,HD 28678 b,Radial Velocity,1,380.2,1.18,1.542,190.92,190.92,4972,1.53,W. M. Keck Observatory,,,,06-12-2018
693,HD 29021,HD 29021 b,Radial Velocity,1,1362.3,2.28,2.4,31.02,31.02,5560,0.85,Haute-Provence Observatory,,,,02-03-2017
694,HD 290327,HD 290327 b,Radial Velocity,1,2443,3.43,2.43,56.52,56.52,5505,0.84,La Silla Observatory,,,,06-09-2018
695,HD 2952,HD 2952 b,Radial Velocity,1,311.60001,1.23,1.37,110.45,110.45,4844,1.97,Okayama Astrophysical Observatory,,,,06-09-2018
696,HD 30177,HD 30177 b,Radial Velocity,2,2527.83,3.704,8.622,55.68,55.68,5607,1.05,Anglo-Australian Telescope,,,,27-06-2019
697,HD 30177,HD 30177 c,Radial Velocity,2,11613,9.89,7.6,55.68,55.68,5607,1.05,Multiple Observatories,,,,21-12-2016
698,HD 30562,HD 30562 b,Radial Velocity,1,1157,2.34,1.22,26.18,26.18,5882,1.12,Lick Observatory,,,,06-09-2018
699,HD 30669,HD 30669 b,Radial Velocity,1,1684,2.69,0.47,57.1,58.18,5400,0.92,La Silla Observatory,,,,08-01-2015
700,HD 30856,HD 30856 b,Radial Velocity,1,847,1.85,1.547,131.7,131.7,4895,1.17,W. M. Keck Observatory,,,,06-12-2018
701,HD 31253,HD 31253 b,Radial Velocity,1,466,1.26,0.62,58.24,58.24,6130,1.7,W. M. Keck Observatory,,,,06-09-2018
702,HD 31527,HD 31527 b,Radial Velocity,3,16.5535,0.1254,0.0329,38.57,38.49,5898,0.96,La Silla Observatory,,,,07-02-2019
703,HD 31527,HD 31527 c,Radial Velocity,3,51.2053,0.2663,0.0445,38.57,38.49,5898,0.96,La Silla Observatory,,,,07-02-2019
704,HD 31527,HD 31527 d,Radial Velocity,3,271.6737,0.8098,0.0372,38.57,38.49,5898,0.96,La Silla Observatory,,,,07-02-2019
705,HD 3167,HD 3167 b,Transit,3,0.959624,0.0186,,47.36,47.35,5528,0.94,K2,,,,26-10-2018
706,HD 3167,HD 3167 c,Transit,3,29.83832,0.1841,,47.36,47.35,5528,0.94,K2,,,,26-10-2018
707,HD 3167,HD 3167 d,Radial Velocity,3,8.509,0.07757,0.02171,47.36,47.35,5528,0.94,W. M. Keck Observatory,,,,31-01-2019
708,HD 32518,HD 32518 b,Radial Velocity,1,157.54,0.59,3.04,122.55,122.55,4580,1.13,Thueringer Landessternwarte Tautenburg,,,,14-05-2014
709,HD 32963,HD 32963 b,Radial Velocity,1,2372,3.41,0.7,38.12,38.12,5727,0.94,W. M. Keck Observatory,,,,05-01-2016
710,HD 330075,HD 330075 b,Radial Velocity,1,3.38773,0.04,0.48,45.36,45.36,5000,0.47,La Silla Observatory,,,,06-09-2018
711,HD 33142,HD 33142 b,Radial Velocity,2,326,1.07,1.385,121.8,121.8,4978,1.41,W. M. Keck Observatory,,,,06-12-2018
712,HD 33142,HD 33142 c,Radial Velocity,2,834,,5.97,121.8,121.8,4978,1.41,W. M. Keck Observatory,,,,29-11-2018
713,HD 33283,HD 33283 b,Radial Velocity,1,18.1991,0.1508,0.329,90.1,90.1,5935,1.38,W. M. Keck Observatory,,,,27-09-2018
714,HD 33564,HD 33564 b,Radial Velocity,1,388,1.1,9.1,20.97,20.97,6250,1.25,Haute-Provence Observatory,,,,03-12-2014
715,HD 33844,HD 33844 b,Radial Velocity,2,551.40002,1.6,2.01,106.1,106.1,4861,1.84,Anglo-Australian Telescope,,,,06-09-2018
716,HD 33844,HD 33844 c,Radial Velocity,2,916,2.24,1.75,106.1,106.1,4861,1.84,Anglo-Australian Telescope,,,,14-01-2016
717,HD 34445,HD 34445 b,Radial Velocity,6,1049,2.07,0.82,46.15,46.15,5879,1.14,W. M. Keck Observatory,,,,06-09-2018
718,HD 34445,HD 34445 c,Radial Velocity,6,214.67,0.7181,0.168,46.15,46.15,5879,1.14,Multiple Observatories,,,,26-10-2017
719,HD 34445,HD 34445 d,Radial Velocity,6,117.87,0.4817,0.097,46.15,46.15,5879,1.14,Multiple Observatories,,,,26-10-2017
720,HD 34445,HD 34445 e,Radial Velocity,6,49.175,0.2687,0.0529,46.15,46.15,5879,1.14,Multiple Observatories,,,,26-10-2017
721,HD 34445,HD 34445 f,Radial Velocity,6,676.8,1.543,0.119,46.15,46.15,5879,1.14,Multiple Observatories,,,,26-10-2017
722,HD 34445,HD 34445 g,Radial Velocity,6,5700,6.36,0.38,46.15,46.15,5879,1.14,Multiple Observatories,,,,26-10-2017
723,HD 35759,HD 35759 b,Radial Velocity,1,82.467,0.389,3.76,72.5,71.39,6060,1.15,Haute-Provence Observatory,,,,25-02-2016
724,HD 3651,HD 3651 b,Radial Velocity,1,62.25,0.295,0.228,11.14,11.14,5221,0.8,Multiple Observatories,,,,14-03-2019
725,HD 37124,HD 37124 b,Radial Velocity,3,154.378,0.53364,0.675,31.69,31.69,,0.85,W. M. Keck Observatory,,,,18-08-2016
726,HD 37124,HD 37124 c,Radial Velocity,3,885.5,1.71,0.652,31.69,31.69,,0.85,W. M. Keck Observatory,,,,18-08-2016
727,HD 37124,HD 37124 d,Radial Velocity,3,1862,2.807,0.696,31.69,31.69,,0.85,W. M. Keck Observatory,,,,18-08-2016
728,HD 37605,HD 37605 b,Radial Velocity,2,55.01292,0.277,2.69,46.85,46.85,5329,0.94,McDonald Observatory,,,,27-09-2018
729,HD 37605,HD 37605 c,Radial Velocity,2,2720,3.74,3.19,46.85,46.85,5329,0.94,Multiple Observatories,,,,27-09-2018
730,HD 38283,HD 38283 b,Radial Velocity,1,363.20001,1.02,0.4,38.1,38.1,5981,1.37,Anglo-Australian Telescope,,,,06-09-2018
731,HD 38529,HD 38529 b,Radial Velocity,2,14.30944,0.1294,0.797,42.41,42.41,5541,1.41,Multiple Observatories,,,,06-12-2018
732,HD 38529,HD 38529 c,Radial Velocity,2,2136.1,3.64,12.99,42.41,42.41,5541,1.41,Multiple Observatories,,,,06-12-2018
733,HD 38801,HD 38801 b,Radial Velocity,1,685.25,1.623,9.698,91.68,91.68,5338,1.21,Subaru Telescope,,,,27-06-2019
734,HD 39091,HD 39091 b,Radial Velocity,2,2093.07,3.1,10.02,18.28,18.28,6037,1.09,Anglo-Australian Telescope,,,,15-11-2018
735,HD 39855,HD 39855 b,Radial Velocity,1,3.2498,0.041,0.02674,23.28,23.28,5576,0.87,Las Campanas Observatory,,,,23-05-2019
736,HD 40307,HD 40307 b,Radial Velocity,5,4.3123,0.0468,0.0126,12.94,12.94,4956,0.77,La Silla Observatory,,,,14-05-2014
737,HD 40307,HD 40307 c,Radial Velocity,5,9.6184,0.0799,0.0208,12.94,12.94,4956,0.77,La Silla Observatory,,,,14-05-2014
738,HD 40307,HD 40307 d,Radial Velocity,5,20.432,0.1321,0.0299,12.94,12.94,4956,0.77,La Silla Observatory,,,,14-05-2014
739,HD 40307,HD 40307 f,Radial Velocity,5,51.76,0.247,0.0164,12.94,12.94,4956,0.77,La Silla Observatory,,,,14-05-2014
740,HD 40307,HD 40307 g,Radial Velocity,5,197.8,0.6,0.0223,12.94,12.94,4956,0.77,La Silla Observatory,,,,14-05-2014
741,HD 40956,HD 40956 b,Radial Velocity,1,578.6,1.4,2.7,116.99,116.99,4869,2,Multiple Observatories,,,,30-11-2017
742,HD 40979,HD 40979 b,Radial Velocity,1,264.14999,0.85,4.67,34.12,34.12,6165,1.45,Multiple Observatories,,,,06-09-2018
743,HD 41004 A,HD 41004 A b,Radial Velocity,1,963,,2.54,43.03,,5010,0.7,La Silla Observatory,,,,03-12-2014
744,HD 41004 B,HD 41004 B b,Radial Velocity,1,1.3283,,18.37,43.03,,,0.4,La Silla Observatory,,,,03-12-2014
745,HD 4113,HD 4113 b,Radial Velocity,1,526.62,1.28,1.56,41.92,41.92,5688,0.99,La Silla Observatory,,,,03-12-2014
746,HD 42012,HD 42012 b,Radial Velocity,1,857.5,1.67,1.6,36.84,36.84,5405,0.83,Haute-Provence Observatory,,,,02-03-2017
747,HD 4203,HD 4203 b,Radial Velocity,2,431.88,1.17,2.23,81.57,81.57,5596,1.25,W. M. Keck Observatory,,,,06-09-2018
748,HD 4203,HD 4203 c,Radial Velocity,2,6700,6.95,2.17,81.57,81.57,5596,1.25,Gemini Observatory,,,,14-05-2014
749,HD 4208,HD 4208 b,Radial Velocity,1,832.97,1.662,0.81,34.23,34.23,5717,0.88,W. M. Keck Observatory,,,,27-06-2019
750,HD 42618,HD 42618 b,Radial Velocity,1,149.61,0.554,0.04531,24.35,24.35,5727,1.01,Multiple Observatories,,,,27-10-2016
751,HD 4308,HD 4308 b,Radial Velocity,1,15.56,0.12,0.05,22.03,22.03,5686,0.93,La Silla Observatory,,,,06-09-2018
752,HD 4313,HD 4313 b,Radial Velocity,1,356.21,1.157,1.927,136.82,136.82,4943,1.63,W. M. Keck Observatory,,,,06-12-2018
753,HD 43197,HD 43197 b,Radial Velocity,1,327.8,0.92,0.6,56.3,62.52,5508,0.96,La Silla Observatory,,,,03-12-2014
754,HD 43691,HD 43691 b,Radial Velocity,1,36.9987,0.238,2.55,85.81,85.81,6093,1.32,Haute-Provence Observatory,,,,27-09-2018
755,HD 44219,HD 44219 b,Radial Velocity,1,472.3,1.19,0.58,50.4,52.99,5752,1,La Silla Observatory,,,,22-01-2015
756,HD 45184,HD 45184 b,Radial Velocity,2,5.8854,0.0644,0.0384,21.88,21.97,5869,1.03,La Silla Observatory,,,,07-02-2019
757,HD 45184,HD 45184 c,Radial Velocity,2,13.1354,0.11,0.0277,21.88,21.97,5869,1.03,La Silla Observatory,,,,07-02-2019
758,HD 45350,HD 45350 b,Radial Velocity,1,963.6,1.92,1.79,46.94,46.94,5616,1.02,W. M. Keck Observatory,,,,18-09-2014
759,HD 45364,HD 45364 b,Radial Velocity,2,226.93,0.6813,0.1872,34.39,34.39,5434,0.82,La Silla Observatory,,,,14-05-2014
760,HD 45364,HD 45364 c,Radial Velocity,2,342.85,0.8972,0.6579,34.39,34.39,5434,0.82,La Silla Observatory,,,,14-05-2014
761,HD 45652,HD 45652 b,Radial Velocity,1,44.073,0.237,0.433,34.89,34.89,5294,0.92,Haute-Provence Observatory,,,,27-09-2018
762,HD 46375,HD 46375 b,Radial Velocity,1,3.023573,0.0398,0.226,29.58,29.58,5285,0.92,W. M. Keck Observatory,,,,23-07-2014
763,HD 47186,HD 47186 b,Radial Velocity,2,4.0845,0.05,0.07,37.5,37.5,5657,0.96,La Silla Observatory,,,,06-09-2018
764,HD 47186,HD 47186 c,Radial Velocity,2,1353.6,2.395,0.35061,37.5,37.5,5657,0.96,La Silla Observatory,,,,26-03-2015
765,HD 4732,HD 4732 b,Radial Velocity,2,360.2,1.19,2.37,54.87,54.87,4959,1.74,Multiple Observatories,,,,14-05-2014
766,HD 4732,HD 4732 c,Radial Velocity,2,2732,4.6,2.37,54.87,54.87,4959,1.74,Multiple Observatories,,,,14-05-2014
767,HD 47366,HD 47366 b,Radial Velocity,2,363.3,1.214,1.75,84.56,84.56,4866,1.81,Okayama Astrophysical Observatory,,,,26-09-2019
768,HD 47366,HD 47366 c,Radial Velocity,2,684.7,1.853,1.86,84.56,84.56,4866,1.81,Okayama Astrophysical Observatory,,,,26-09-2019
769,HD 47536,HD 47536 b,Radial Velocity,1,712.13,1.93,7.32,122.95,122.95,4424,0.91,La Silla Observatory,,,,26-03-2015
770,HD 48265,HD 48265 b,Radial Velocity,1,778.51,1.814,1.525,90.78,90.78,5733,1.31,Las Campanas Observatory,,,,27-06-2019
771,HD 4917,HD 4917 b,Radial Velocity,1,400.5,1.167,1.615,205.45,205.45,4802,1.32,W. M. Keck Observatory,,,,06-12-2018
772,HD 49674,HD 49674 b,Radial Velocity,1,4.94737,0.06,0.1,43.09,43.09,5602,1.03,W. M. Keck Observatory,,,,06-09-2018
773,HD 50499,HD 50499 b,Radial Velocity,2,2447.1,3.833,1.636,46.35,46.35,6102,1.25,W. M. Keck Observatory,,,,27-06-2019
774,HD 50499,HD 50499 c,Radial Velocity,2,8619.9,9.02,2.93,46.35,46.35,6102,1.25,La Silla Observatory,,,,11-04-2019
